"フレーム","時間","レイヤー","キャラクター","セリフ","発音","ファイル"
"0","00:00:00","1","ずんだもん","デモ操作をはじめるのだ","デモソ'オサヲ/ハジメル'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[1,1] デモ操作をはじめるのだ.wav"
"180","00:00:03","1","ずんだもん","まずは必要事項を入力するのだ","マ'ズワ/_ヒツヨオ'/ジ'コオオ/ニュウリョ_ク'/スル'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[181,1] まずは必要事項を入力するのだ.wav"
"386","00:00:06.4333333","1","ずんだもん","ある程度は選択式になっているのだ","ア'ルテエドワ/センタク'_シキニ/ナ'ッテ/イル'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[387,1] ある程度は選択式になっているのだ.wav"
"671","00:00:11.1833333","1","ずんだもん","時間は自動取得なのだ","ジカンワ'/ジドオシュ'トクナ/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[672,1] 時間は自動取得なのだ.wav"
"846","00:00:14.1000000","1","ずんだもん","選択肢になければ下の欄に入力するのだ","センタク'シニ/ナ'ケレバ/_シタノ'/ラ'ンニ/ニュウリョ_ク'/スル'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[847,1] 選択肢になければ下の欄に入力するのだ.wav"
"1084","00:00:18.0666666","1","ずんだもん","担当者名も自動取得なのだ","タントオシャ'メエモ/ジドオシュ'トクナ/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[1085,1] 担当者名も自動取得なのだ.wav"
"1488","00:00:24.8000000","1","ずんだもん","添付ファイルの挙動はPCとスマホで違うのだ","テン_プファ'イルノ/キョドオワ'/ピイシ'イト/スマホデ'/チガウ'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[1489,1] 添付ファイルの挙動はPCとスマホで違うのだ.wav"
"1773","00:00:29.5500000","1","ずんだもん","報告内容はフリー入力なのだ","ホオコクナ'イヨオワ/フリイニュ'ウリョクナ/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[1774,1] 報告内容はフリー入力なのだ.wav"
"2038","00:00:33.9666666","1","ずんだもん","入力内容は簡潔にすることがコツなのだ","ニュウリョクナ'イヨオワ/カンケツニ'/スル'/コト'ガ/コツナ'/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[2039,1] 入力内容は簡潔にすることがコツなのだ.wav"
"2767","00:00:46.1166666","1","ずんだもん","カメラアイコンを押すと写真が撮れるのだ","カメラア'イコンオ/オ_スト'/シャシンガ'/トレ'ル/ノダ'","C:\Users\a1048554\Desktop\デスクトップの残骸\AviUtl\異常処置報告アプリデモ\[2768,1] カメラアイコンを押すと写真が撮れるのだ.wav"
